id,cat_nome,orgao_nome,publico_alvo_nome,nome,ano,medida_provisoria,medida_provisoria_inicio_vigencia,legislacao,vigencia_inicio,vigencia_fim,objetivos,observacao,acao_orcamentaria_assoc,instrumento_legal,link_legislacao,tipo_politica,grande_area,area,created_at,updated_at,publico_alvo_legislacao
1,"Assistência Social","Ministério dos Transportes","Crianças ou Idosos","Carteira da pessoa idosa",2006-01-01,"Não se aplica","Não se aplica",5934/2006,2006-10-18,2019-07-19,"Art 2º, V - bilhete de viagem da pessoa idosa - documento que comprove a concessão do transporte gratuito da pessoa idosa, fornecido pela empresa prestadora do serviço de transporte, para possibilitar o ingresso da pessoa idosa no veículo.
Art. 6º , § 2º - A comprovação de renda será feita mediante a apresentação de um dos seguintes documentos:
Art. 6º , § 2º , inciso V - documento ou carteira emitida pelas Secretarias Estaduais ou Municipais de Assistência Social ou congêneres.","Há um decreto em vigor (9.921/2019), que substituiu o anterior e dispõe sobre gratuidade de tranporte para pessoas idosas.",#N/A,Decreto,http://legis.senado.leg.br/norma/574380,"Programa governamental",Social,"Assistência Social",,,"  - idoso: pessoa com idade igual ou superior a sessenta anos;"
2,"Defesa Nacional","Ministério da Defesa","Sistema Nacional de Defesa","Estratégia Nacional de Defesa",2008-01-01,"Não se aplica","Não se aplica",6703/2008,2008-12-18,,#N/A,#N/A,NA,Decreto,http://legis.senado.leg.br/norma/578987,Estratégia,"Defesa e Segurança","Defesa Nacional",,,"Sem especificação"
3,"Direitos da Cidadania","Ministério da Mulher, da Família e dos Direitos Humanos","População em situação de vulnerabilidade social","Estratégia Nacional de Fortalecimento dos Vínculos Familiares",2020-01-01,"Não se aplica","Não se aplica",10570/2020,2021-01-01,,"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.",#N/A,NA,Decreto,http://legis.senado.leg.br/norma/32967095,Estratégia,Social,"Direitos Humanos",,,"Sem especificação"
3,"Direitos da Cidadania","Ministério da Educação","População em situação de vulnerabilidade social","Estratégia Nacional de Fortalecimento dos Vínculos Familiares",2020-01-01,"Não se aplica","Não se aplica",10570/2020,2021-01-01,,"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.",#N/A,NA,Decreto,http://legis.senado.leg.br/norma/32967095,Estratégia,Social,"Direitos Humanos",,,"Sem especificação"
3,"Direitos da Cidadania","Ministério da Cidadania","População em situação de vulnerabilidade social","Estratégia Nacional de Fortalecimento dos Vínculos Familiares",2020-01-01,"Não se aplica","Não se aplica",10570/2020,2021-01-01,,"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.",#N/A,NA,Decreto,http://legis.senado.leg.br/norma/32967095,Estratégia,Social,"Direitos Humanos",,,"Sem especificação"
3,"Direitos da Cidadania","Ministério da Saúde","População em situação de vulnerabilidade social","Estratégia Nacional de Fortalecimento dos Vínculos Familiares",2020-01-01,"Não se aplica","Não se aplica",10570/2020,2021-01-01,,"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.",#N/A,NA,Decreto,http://legis.senado.leg.br/norma/32967095,Estratégia,Social,"Direitos Humanos",,,"Sem especificação"
3,"Direitos da Cidadania","Casa Civil da Presidência da República","População em situação de vulnerabilidade social","Estratégia Nacional de Fortalecimento dos Vínculos Familiares",2020-01-01,"Não se aplica","Não se aplica",10570/2020,2021-01-01,,"Art. 3º São objetivos da Estratégia Nacional de Fortalecimento dos Vínculos Familiares:
I - apoiar, fortalecer e articular as iniciativas existentes no âmbito das competências das políticas coordenadas pelos órgãos do Poder Executivo federal e propor ações e aprimoramentos baseados em evidências e melhores práticas;
II - propor estratégias integradas que possam potencializar a articulação intersetorial, qualificar a atenção aos vínculos familiares no escopo das políticas públicas e potencializar os resultados;
III - promover a avaliação do impacto familiar das políticas, dos programas e das ações em elaboração ou implementados pelos órgãos do Poder Executivo federal, visando à elaboração de proposições que aprimorem a atenção às famílias no âmbito das políticas públicas;
IV - fomentar a pesquisa, a produção e a divulgação de conhecimento acerca da realidade das famílias brasileiras e da relação entre os vínculos familiares e o bem-estar da população; e
V - articular os esforços entre o Governo federal e a sociedade civil, em prol da valorização, do apoio e do fortalecimento dos vínculos familiares.",#N/A,NA,Decreto,http://legis.senado.leg.br/norma/32967095,Estratégia,Social,"Direitos Humanos",,,"Sem especificação"
4,"Segurança Pública","Ministério da Justiça","Sistema de Segurança Pública","Força Nacional de Segurança Pública",2004-01-01,"Não se aplica","Não se aplica",5289/2004,2004-11-30,,"Art. 2o  A Força Nacional de Segurança Pública somente poderá atuar em atividades de policiamento ostensivo destinadas à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, nas hipóteses previstas neste Decreto e no ato formal específico de adesão dos Estados interessados.
Art. 2o  A Força Nacional de Segurança Pública atuará em atividades destinadas à preservação da ordem pública e da incolumidade das pessoas e do patrimônio, nas hipóteses previstas neste Decreto e no ato formal de adesão dos Estados e do Distrito Federal. (Redação dada pelo Decreto nº 7.318, de 2010).",Entra?,"Programa sem ação orçamentária associada",Decreto,http://legis.senado.leg.br/norma/408182,"Programa governamental","Defesa e Segurança","Justiça e Segurança Pública",,,"Sem especificação"
5,"Assistência Social","Ministério da Cidadania","População em situação de vulnerabilidade social","Plano Brasil Sem Miséria",2011-01-01,"Não se aplica","Não se aplica",7492/2011,2011-06-02,,"Art. 1º Fica instituído o Plano Brasil Sem Miséria, com a finalidade de superar a situação de extrema pobreza da população em todo o território nacional, por meio da integração e articulação de políticas, programas e ações.",https://www.mds.gov.br/webarquivos/publicacao/brasil_sem_miseria/wwp/BSM_introducao_PORT.pdf,#N/A,Decreto,http://legis.senado.leg.br/norma/592890,Plano,Social,"Assistência Social",,,"Art. 2º O Plano Brasil Sem Miséria destina-se à população em situação de extrema pobreza."
5,"Assistência Social","Ministério da Economia","População em situação de vulnerabilidade social","Plano Brasil Sem Miséria",2011-01-01,"Não se aplica","Não se aplica",7492/2011,2011-06-02,,"Art. 1º Fica instituído o Plano Brasil Sem Miséria, com a finalidade de superar a situação de extrema pobreza da população em todo o território nacional, por meio da integração e articulação de políticas, programas e ações.",https://www.mds.gov.br/webarquivos/publicacao/brasil_sem_miseria/wwp/BSM_introducao_PORT.pdf,#N/A,Decreto,http://legis.senado.leg.br/norma/592890,Plano,Social,"Assistência Social",,,"Art. 2º O Plano Brasil Sem Miséria destina-se à população em situação de extrema pobreza."
